Bank,Asset,Liability,Equity,Claim on Banks,Liability to Banks,Ext. Asset,Ext. Liability
1.00,42981.00,40531.00,2450.00,2531.00,1589.00,40450.00,38942.00
2.00,34695.00,32851.00,1844.00,1128.00,8231.00,33567.00,24620.00
3.00,40521.00,38360.00,2161.00,3029.00,5020.00,37492.00,33340.00
4.00,24732.00,23749.00,983.00,2235.00,10169.00,22497.00,13580.00
5.00,23437.00,20246.00,3191.00,848.00,18424.00,22589.00,1822.00
6.00,70682.00,68065.00,2617.00,20484.00,23708.00,50198.00,44357.00
7.00,81932.00,78738.00,3194.00,49440.00,5550.00,32492.00,73188.00
8.00,34592.00,33774.00,818.00,3264.00,4297.00,31328.00,29477.00
9.00,145350.00,127467.00,17883.00,34287.00,40727.00,111063.00,86740.00
10.00,90992.00,82109.00,8883.00,2019.00,11134.00,88973.00,70975.00
11.00,22546.00,21848.00,698.00,3091.00,2653.00,19455.00,19195.00
12.00,13444.00,13094.00,350.00,1202.00,3630.00,12242.00,9464.00
13.00,1580760.00,1526020.00,54739.00,93982.00,133229.00,1486780.00,1392790.00
14.00,549661.00,522725.00,26936.00,87545.00,77694.00,462116.00,445031.00
15.00,273523.00,260120.00,13403.00,47577.00,58030.00,225946.00,202090.00
16.00,386978.00,372824.00,14154.00,74214.00,91361.00,312764.00,281463.00
17.00,190307.00,179136.00,11171.00,46424.00,62367.00,143883.00,116769.00
18.00,200845.00,193570.00,7275.00,27481.00,59181.00,173364.00,134389.00
19.00,109022.00,104498.00,4524.00,5156.00,18212.00,103866.00,86286.00
20.00,178083.00,170996.00,7087.00,21396.00,34106.00,156687.00,136890.00
21.00,116073.00,112305.00,3768.00,30728.00,39001.00,85345.00,73304.00
22.00,51360.00,49139.00,2221.00,21890.00,26994.00,29470.00,22145.00
