,c_i
47,1571107.0
50,501845.0
43,1907829.0
49,976849.0
44,1419908.0
48,1671836.0
22,1171860.0
59,822781.0
46,965712.0
64,821317.0
7,1711231.0
45,951310.0
65,569945.0
8,633011.0
60,467053.0
23,430462.0
72,481405.0
3,319924.0
18,326661.0
24,288414.0
4,252852.0
66,350403.0
11,219018.0
25,270346.0
0,180894.0
9,240507.0
73,186284.0
74,219332.0
51,110224.0
1,100812.0
75,174007.0
10,187718.0
56,139458.0
26,114373.0
19,167291.0
63,110766.0
68,105097.0
61,232205.0
13,299035.0
62,132440.0
53,63306.0
16,84608.0
70,76955.0
15,141398.0
52,82047.0
14,133395.0
12,137369.0
31,63636.0
57,120034.0
69,92320.0
27,93025.0
17,89049.0
32,62101.0
28,67795.0
54,56099.0
36,42704.0
29,70371.0
33,50399.0
38,31664.0
37,40938.0
6,34702.0
71,38364.0
35,38422.0
5,34673.0
41,20501.0
34,51335.0
30,67053.0
67,78530.0
2,33957.0
20,28078.0
58,40616.0
39,29470.0
21,16568.0
42,18218.0
40,26508.0
55,29564.0
